Crash Year,Crash Report Number,Vehicle Sequence Number,Vehicle Make,Vehicle Model,Vehicle Color,Vehicle Style,Vehicle Body Type Code,Vehicle Year,Vehicle ID Number
2017,870093640,1,,,,,11,,
2017,870100430,2,YAMA,,MAR,MC,11,2006,JYAVP04E96A010015
2017,870100670,1,KAWK,NINJA,GRN,MC,11,2010,JKAEXMJ15ADA64669
2017,870101020,2,HOND,,RED,MC,11,2003,JH2PF01423K000080
2017,870101050,2,SUZI,,RED,MC,11,2005,JS1GT76AX52107657
2017,870101060,2,HD,,MAR,MC,11,2010,1HD1FC416AB628818
2017,870101130,2,KAWK,,GRN,MC,11,2006,JKAEXVD116A097269
2017,870101230,2,YAMA,,RED,MC,11,2005,JYAVP11E45A063634
2017,870101240,2,HD,MC,CPR,MC,11,2008,1HD1PG8418Y959385
2017,870101280,1,HD,,BLU,MC,11,2003,1HD1BWB173Y091618
2017,870101740,1,KAWA,,ONG,MC,11,2011,JKAEXEC17BDA71868
2017,870102290,1,HD,,RED,MC,11,2004,1HD1DJV1X4Y603947
2017,870102330,1,YAMA,,RED,MC,11,2015,MH3RH06Y9FK003619
2017,870102410,1,SUZI,,YEL,MC,11,2003,JS1GN7BA432110048
2017,870102830,2,HOND,,BLK,MC,11,2004,JH2PC37054M106169
2017,870104020,1,HARLE,STREET GLIDE,GRY,MC,11,2017,1HD1KRC19HB648877
2017,870104530,1,KAW,SPORT BIKE,GRN,MC,11,2004,JKAZX4P1X8A038876
2017,870105920,1,YAMA,,RED,MC,11,2010,JYAVP27E4AA011606
2017,870107580,2,HD,,ONG,MC,11,2012,1HD1FCM18CB651830
2017,870107640,1,YAMA,,BLK,MC,11,2015,JYARJ16E0FA033544
2017,870108140,1,SUZI,GSX-R750L,BLK,MC,11,2016,JS1GR7MA7G2100153
2017,870109160,2,BUEL,1125R,BLK,MC,11,2008,4MZHL04D083B02804
2017,870109210,2,KAWK,,BLK,MC,11,2003,JKBZXJB143A003695
2017,870109370,1,HOND,,BLK,MC,11,2014,JH2SC680XEK001179
2017,870111130,1,YAMA,,BLU,MC,12,2005,JYASH03Y15A001920
2017,870113860,1,YAMA,UK,BLU,MC,11,2002,JYARJ04E02A020168
2017,870114780,2,HOND,CBR,WHI,MC,11,2007,JH2PC40077M004182
2017,870116320,1,HOND,CBR,BLK,MC,11,2013,MLHMC4103D5304461
2017,870119490,1,KAW,EX650,BLU,MC,11,2007,JKAEXEA1X7A025671
2017,870121840,1,HD,UK,ONG,MC,11,2011,1HD1LC312BC422708
2017,870123740,2,SUZI,Gsx,BLK,MC,11,2012,JS1GT78A0C2100551
2017,870128400,1,CHEV,2500,WHI,VN,11,2005,1GCGG25U051169762
2017,870129760,2,,,WHITE,,12,,UNKNOWN
2017,870130030,1,,,,,12,,
2017,870130110,2,ZHQM,SCOOTER,WHITE,SCOOTER,12,2009,LBBTAAMT49B535347
2017,870130760,1,UNK,UNK,GREY,SCOOTER,12,,UNKNOWN
2017,870131060,1,DONF,MC,GREEN,MC,12,2014,LXDTCBBG3E1800397
2017,870131060,2,DONG,MC,BLUE,MC,12,2014,LXDTCBBG2E1A01259
2017,870131310,1,HD,HD,PURPLE,MC,11,2007,1HD1FC4177Y670114
2017,870131310,2,TRIUM,MC,BLACK,MC,11,2017,SMTA02TK1HJ781365
2017,870131430,2,SCOOT,SCOOTER,BLUE,,11,2014,LXDTCBBG7E1C00338
2017,870131550,1,,,BLACK,SCOOTER,12,,UNKNOWN
2017,870131720,1,SANY,SCOOTER,ORANGE,SCOOTER,12,2017,RFGBS1D0XHXAE0460
2017,870132510,2,SUZI,GSXR,BLU,MC,11,2007,JS1GN7DA372105054
2017,870132600,1,DONF,RENTAL,GREEN,MC,11,2014,LXDTCBBG1E1800348
2017,870132630,1,ZHNG,SCOOTER,BLUE,SCOOTER,12,2015,L5YACBPA3F1105813
